Time,ECG,Stethoscope
3.77,0.0249164,-0.00867561
3.775,0.0311331,-0.00813811
3.78,0.0356709,-0.00281432
3.785,0.0379149,-0.00262495
3.79,0.039272,-0.00116685
3.795,0.0408899,4.54E-05
3.8,0.0425711,-0.00139239
3.805,0.0443507,-0.00596172
3.81,0.0473272,-0.0114945
3.815,0.0516229,-0.00860146
3.82,0.0555276,-0.00534211
3.825,0.0587534,0.00233184
3.83,0.0624052,0.00136845
3.835,0.0674225,0.00023574
3.84,0.0737838,-0.00146748
3.845,0.0811391,-0.00406411
3.85,0.0893708,-0.000129705
3.855,0.0977658,-0.00356833
3.86,0.104792,-0.00416767
3.865,0.110301,-0.003595
3.87,0.115929,-0.00497684
3.875,0.122497,-0.00329955
3.88,0.128656,-0.00568232
3.885,0.133333,-0.00523516
3.89,0.137262,-0.00130567
3.895,0.141528,-0.00279071
3.9,0.14516,-0.00445311
3.905,0.146541,-0.00373766
3.91,0.145746,-0.00204422
3.915,0.143696,-0.002382
3.92,0.14024,-0.00234344
3.925,0.135689,-0.00424633
3.93,0.131195,-0.000744943
3.935,0.127139,-0.0103159
3.94,0.122707,-0.000872081
3.945,0.117491,-0.000728622
3.95,0.112713,-0.00193051
3.955,0.108992,-0.00371859
3.96,0.104534,-0.000804097
3.965,0.0978845,-0.000217244
3.97,0.0906504,-0.00573634
3.975,0.0838257,-0.00560613
3.98,0.0757142,-0.00443555
3.985,0.0656113,-0.00470793
3.99,0.0548887,-0.00029167
3.995,0.0448918,-0.00448816
4,0.035454,-0.00279365
4.005,0.0261288,-0.00432337
4.01,0.0169014,-0.00196222
4.015,0.00776224,-0.00452696
4.02,-0.00188063,-0.0060427
4.025,-0.0119536,-0.0046854
4.03,-0.0193137,0.000708284
4.035,-0.0203651,-0.000177496
4.04,-0.0158565,-0.000345491
4.045,-0.00953474,-0.003295
4.05,-0.00370486,-0.0071665
4.055,0.00244854,-0.00506232
4.06,0.0109454,-0.00638738
4.065,0.0237296,-0.00546579
4.07,0.0429891,-0.00309131
4.075,0.0680393,-0.0016745
4.08,0.0920213,-0.00115272
4.085,0.107451,-0.00206961
4.09,0.113116,-0.00308744
4.095,0.109963,-0.00525738
4.1,0.096342,-0.00340743
4.105,0.0703049,-0.00119485
4.11,0.0320084,-0.00108649
4.115,-0.0150663,-0.00567171
4.12,-0.0657961,-0.00163507
4.125,-0.114982,-0.00336461
4.13,-0.156938,-0.00494782
4.135,-0.188724,-0.000216831
